resource_type,name,parent,type,value,ttl,mac_address,network_address,subnet_mask,start_address,end_address,gateway,comments,depends_on,advanced_json
# ---------------------------------------------------------------------------
# WARNING (owner decision 2026-08-22 / Infra backlog E7.T32): this file is NOT applied to DNS.
# No pipeline consumes it into Technitium. tofu/dns/ is a stub with an empty state that has never managed a record.
# NetworkService (src/homelab_gitops/domain/network.py) only appends rows here and reads IPs back as an allocation ledger.
# scripts/technitium_manager.py convert-csv can render it to tofu JSON but nothing runs that and nothing applies the result.
# Technitium serves 189 records today; the 127 infra.plexplease.com records are owned by external-dns (--policy=sync).
# Completing tofu/dns/ and applying it would DELETE those records. Leave the module as-is. Host DNS is hand-managed in Technitium.
# These comment rows sit below the header on purpose: every reader is csv.DictReader; a '#' first field matches no resource_type
# and convert-csv skips it as unknown. Keep these lines comma-free or they will split into columns.
# ---------------------------------------------------------------------------
zone,plexplease.com,,Primary,,,,, ,,,,Technitium Primary Zone,,
record,dns-01.plexplease.com,plexplease.com,A,10.10.10.2,3600,,,, ,,,,Technitium Primary DNS,,
record,www.plexplease.com,plexplease.com,CNAME,dns-01.plexplease.com,3600,,,, ,,,,Web Server,,
record,sw-core-01,infra.plexplease.com,A,10.10.10.4,3600,,,,,,,Dell N3224T-ON core switch (static; not DHCP-managed),,
record,4.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,sw-core-01.infra.plexplease.com,3600,,,,,,,Dell N3224T-ON core switch,,
record,ap-01,infra.plexplease.com,A,10.10.10.6,3600,,,,,,,EnGenius EWS377-FIT access point (static; not DHCP-managed),,
record,6.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,ap-01.infra.plexplease.com,3600,,,,,,,EnGenius EWS377-FIT access point,,
dhcp_lease,photon-mcp-01,10.10.10.0,,10.10.10.3,,00:50:56:22:a0:7f,,,,,,Auto-generated for photon-mcp-01,,
record,photon-mcp-01,infra.plexplease.com,A,10.10.10.3,,,,,,,,Auto-generated for photon-mcp-01,,
record,3.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,photon-mcp-01.infra.plexplease.com,,,,,,,,Auto-generated for photon-mcp-01,,
dhcp_lease,ubuntu-base-01,10.10.10.0,,10.10.10.5,,00:50:56:39:bc:65,,,,,,Auto-generated for ubuntu-base-01,,
record,ubuntu-base-01,mgmt.plexplease.com,A,10.10.10.5,,,,,,,,Auto-generated for ubuntu-base-01,,
record,5.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,ubuntu-base-01.mgmt.plexplease.com,,,,,,,,Auto-generated for ubuntu-base-01,,
dhcp_lease,k3s-01,10.10.10.0,,10.10.10.50,,00:50:56:9f:71:25,,,,,,Single-node k3s FCOS control plane,,
record,k3s-01,infra.plexplease.com,A,10.10.10.50,,,,,,,,Single-node k3s FCOS control plane,,
record,50.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,k3s-01.infra.plexplease.com,,,,,,,,Single-node k3s FCOS control plane,,
record,argocd,infra.plexplease.com,A,10.10.10.50,900,,,,,,,,Argo CD ingress on k3s-01,,
dhcp_lease,benchmark-storage-01,10.10.10.0,,10.10.10.105,,00:50:56:33:98:00,,,,,,Auto-generated for benchmark-storage-01,,
record,benchmark-storage-01,mgmt.plexplease.com,A,10.10.10.105,,,,,,,,Auto-generated for benchmark-storage-01,,
record,105.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,benchmark-storage-01.mgmt.plexplease.com,,,,,,,,Auto-generated for benchmark-storage-01,,
dhcp_lease,nut-ups-01,10.10.10.0,,10.10.10.139,,00:50:56:3a:bc:dd,,,,,,Auto-generated for nut-ups-01,,
record,nut-ups-01,mgmt.plexplease.com,A,10.10.10.139,,,,,,,,Auto-generated for nut-ups-01,,
record,139.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,nut-ups-01.mgmt.plexplease.com,,,,,,,,Auto-generated for nut-ups-01,,
dhcp_lease,k3s-deadman-01,10.10.10.0,,10.10.10.51,,00:50:56:2d:55:01,,,,,,Independent k3s monitoring dead-man on ESXi-03,,
record,k3s-deadman-01,infra.plexplease.com,A,10.10.10.51,900,,,,,,,,Independent k3s monitoring dead-man on ESXi-03,,
record,51.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,k3s-deadman-01.infra.plexplease.com,900,,,,,,,,Independent k3s monitoring dead-man on ESXi-03,,
record,openbao.plexplease.com,plexplease.com,A,10.10.10.30,300,,,,,,,Legacy apex name for the OpenBao API on the Docker services host; observed live 2026-08-22 and previously undeclared. Declared here so the destructive CSV apply does not reap it. Network-Policy 4 forbids new apex names - migrate to a mgmt. host name once the host hostname is determined.,,
record,30.10.10.10.in-addr.arpa,10.10.10.in-addr.arpa,PTR,openbao.plexplease.com,300,,,,,,,PTR for 10.10.10.30 - Network-Policy 4 requires every statically-addressed host to have one. Points at the only observed forward name for this address; re-point when the host gains a mgmt. name.,,
